id;IC;PTR;NRz;DRY;DMCsg;PPA;PA;PRz
BGM-0336;BGM-0336;45.0958808836689;21.2755610178884;5.1363278996967;5.9528845387503;32.3550963267002;22.7646146832015;3.17112006216511;0.992902620191179
BGM-0337;BGM-0337;56.3212021212464;30.9222919888064;3.51869798835347;9.30485533666061;35.9553041250018;22.1531695460716;2.65633011022147;1.62461700430396
BGM-0338;BGM-0338;49.4002601137944;30.1091790776653;3.27673118382668;8.73276062290103;35.3705270858437;28.872672318991;3.95573786311438;1.95954686216925
BGM-0352;BGM-0352;59.6645154997653;22.1562022183402;3.12199202444403;5.24867235062589;27.6325418542265;15.2329265672993;3.83734456024895;1.39434652481914
BGM-0407;BGM-0407;51.7925708231404;13.2520142348477;2.895718816934;3.76941545097175;31.4636890933514;11.9893942201175;3.92728414419993;1.64730331915765
BGM-0443;BGM-0443;33.3354654833654;8.4798707407335;2.35700131493305;3.07001802491508;38.0018375416114;13.0652783472029;4.00599484199361;0.856813336849811
BGM-0444;BGM-0444;52.2882208298994;23.676157423471;3.09970025401317;6.69790341929087;32.8531724930669;20.5709809506362;3.6157018655927;1.76587681650383
BGM-0456;BGM-0456;27.3767758740957;6.26858690831168;3.19566640349781;2.86989700378544;32.4648809207165;23.5761908169105;3.04905639288118;0.738239839503635
BGM-0509;BGM-0509;35.540600591031;9.44771566640655;2.84672970598162;3.03924643374695;31.3916969790051;13.9914484565042;2.37573526158976;1.72531487442486
BGM-0541;BGM-0541;32.9590919304959;14.7110329578103;4.37637605503195;4.31680687174548;34.9269814135905;35.5594190608714;3.75160927231449;0.851965887983592
BGM-0564;BGM-0564;30.9025112225279;8.12558541282983;3.80113506683728;2.46778972875161;33.9492560891384;18.9892560407641;3.74244988079725;0.816393838779739
BGM-0659;BGM-0659;44.0684392655287;22.3858847663136;4.27993409219678;6.07840791973476;31.1212215965271;27.6249273417185;2.22716623796093;1.66603998171401
BGM-0660;BGM-0660;37.3344678717427;13.5786697623769;2.96875159863244;4.32346330725561;35.1824672118626;21.8407496181166;4.33774684757484;1.76089877959095
BGM-0671;BGM-0671;57.0653647171618;15.8373813404976;4.9191333571134;4.38896393446836;30.3714560842521;12.665238666738;2.89237640708358;1.3221768394101
BGM-0680;BGM-0680;37.6033796049746;13.9920556748805;3.64845177125053;5.09644126411855;38.2561986069244;21.9514189072853;3.92120138448081;0.879502449317713
BGM-0693;BGM-0693;53.9940967816822;32.5008700668426;4.19328379485238;10.1442458696952;35.8872558487606;26.6918052575088;4.10060092901475;1.0820821004656
BGM-0815;BGM-0815;45.3787303269057;29.5752694675888;4.18487022367159;10.2927293990572;37.7973924440317;31.3743397239476;3.34770912819147;2.02176047375254
BGM-0845;BGM-0845;48.1470327749276;19.4507172371661;3.42467988562652;6.23504659428382;36.7186202033118;23.1439066025304;4.60511491029929;1.16372249502049
BGM-0849;BGM-0849;58.7774473359067;21.1026221039693;4.32211739781311;6.84661921033903;36.8644602627367;14.9200009250838;3.26226754522551;1.2525007067606
BGM-0868;BGM-0868;51.4763772386649;24.0333992983252;3.05530755593414;7.45459858701925;34.4209259146377;26.4045901029126;3.7718653146847;0.88887531489899
BGM-0976;BGM-0976;48.9842751341558;12.0962558094174;3.4476125201742;4.35002568987061;36.1919598338048;11.0024285797512;3.88255049665075;0.83749346604898
BGM-1025;BGM-1025;47.7384970656081;10.4471693293257;2.42023555287323;2.96170781446737;30.0616454493965;9.81517743890171;3.18429112277491;0.93809768684642
BGM-1124;BGM-1124;38.1462324541677;18.7866779470138;3.81548401512738;5.74764644206107;32.1870178129113;32.0278517228997;2.70137735545544;0.981574635873351
BGM-1132;BGM-1132;23.6016131222372;9.51231913298675;2.23079691441669;2.97961288474626;35.2985411788622;22.00097827455;3.36706191380214;1.02109913498874
BGM-1144;BGM-1144;46.0052006937027;17.1813677343945;3.26080890056703;5.14608662155307;34.3193472770268;23.6474257032403;3.54590135331952;1.50329802419653
BGM-1158;BGM-1158;29.21019937498;17.0141293121076;2.08103654288258;6.02943718180522;36.6984345534636;28.0459029350033;4.15222375537392;0.874858488261793
BGM-1171;BGM-1171;42.861598773984;13.5557817634984;3.30300737675862;4.30321503872898;39.0140092623033;17.2710818922896;2.98774567894204;1.07248098383875
BGM-1174;BGM-1174;47.3069112302521;19.3163882243803;3.06403910554342;6.36999394788613;37.8509218645806;26.6686832174343;3.787689981831;1.88668566561583
BGM-1198;BGM-1198;39.4465299187998;12.4670957134177;3.27710094840911;3.73265724223398;32.724963830512;18.6457210010626;4.35175999988532;0.84365221269238
BGM-1224;BGM-1224;30.2297729182692;17.616331343332;3.40073383142535;5.81903148551884;32.3945250595827;24.8751203939497;3.6177590793399;0.804127713576988
BGM-1249;BGM-1249;49.7002915664749;14.2842571262395;2.91750120252105;5.24302691618913;38.5399967092155;14.6414787167848;4.29005540359948;1.04906510184383
BGM-1282;BGM-1282;40.6706988159074;28.5222897755115;3.35990216498421;9.29846389433798;38.0622560289924;37.5937681486766;2.45301013672846;1.72504854296562
BGM-1315;BGM-1315;46.7075584230682;27.9261523297237;5.2209034542643;9.39686112868294;36.0225707369928;29.8172940517133;3.24295584687144;1.4404721493348
BGM-1327;BGM-1327;26.0426305251849;5.73895687664915;2.16414999328213;1.85662088590985;29.4863446344637;11.9289028872714;2.84379510165395;0.79227036384237
BGM-1356;BGM-1356;39.4955116052659;19.3230171340759;3.07326214439017;7.05192532610034;35.940625305454;27.1154250520709;2.2705530333536;0.847314057554235
BGM-1362;BGM-1362;43.552421295079;16.0033013163196;4.519365399741;5.37631467193198;35.9348819311255;17.2820762362357;4.1143732278175;1.35322764623125
BGM-1387;BGM-1387;52.9549845454023;23.691922509993;3.7965561582023;7.16094315995353;33.9241196480866;15.8788512451958;4.22367719202439;1.16372249502049
BGM-1518;BGM-1518;43.3728627964543;17.1209460450844;3.89073240440216;5.7791414002565;37.0444354076661;20.9114005911356;2.52943576062695;1.37681830303788
BGM-1534;BGM-1534;40.084994206796;22.8430278480277;3.39629671609811;6.77429709547495;34.2716955942672;37.4980984639668;3.70176772236053;1.74044369489949
BGM-1549;BGM-1549;53.7549039275919;20.6411435840522;3.0692881268856;6.59606839367869;36.0591007208685;17.563168309615;2.42252730899985;1.29381685489556
BGM-1590;BGM-1590;46.6647947062018;16.0116901490509;2.7951801287909;5.77572256065426;36.5799623944274;13.8047118931626;3.3712573750418;1.74044369489949
BGM-1643;BGM-1643;48.8434201019376;19.9156876242667;3.30985934589859;7.1254674121294;37.7076803874652;19.1555240607627;3.1474702645893;0.874857164272406
BGM-1650;BGM-1650;50.8147272650151;23.9789053892698;4.29059486773621;7.24742376334887;35.2340438926478;25.1265648904007;2.89668374407342;1.38077075294942
BGM-1706;BGM-1706;43.5701186808539;12.0453594203063;4.29403412073394;3.35791556348032;31.6848362713802;14.4478183008134;2.96182967623548;1.01470026342448
