Acessos;IC;PTR;NR;DRY;DMCsg;PPA
BGM-0564;BGM-0564;32.7649165394913;8.4135850705709;4.56498520096726;3.76479879623571;33.7768932618333;17.8065883538482
BGM-0624;BGM-0624;48.9376957371935;16.6004326210337;3.59778576174353;4.17559978575678;27.8853418124524;16.710720458194
BGM-0671;BGM-0671;56.9119739698682;15.0703407767416;6.14681067530523;4.84805765150132;30.7905709520268;12.097528425559
BGM-0816;BGM-0816;47.071255626761;22.9900217663264;3.11693503576812;7.2176129811362;35.5548787678752;20.8616074028051
BGM-0817;BGM-0817;41.6143942507794;18.4254438129882;2.89060260233533;4.94164273110236;35.6205835409564;22.685729538437
BGM-0877;BGM-0877;41.5535582571602;27.7559872372522;3.77622458376938;7.002813364615;37.5807053315693;34.619697486902
BGM-0912;BGM-0912;36.7530626988631;10.5922816931054;2.94139741281647;4.26746974605607;34.6491661764614;10.8302109269899
BGM-0917;BGM-0917;33.9926790842379;20.9273371261297;4.29418961061895;6.49136183875361;37.1469007156797;31.8089558758073
BGM-0924;BGM-0924;35.672087112419;19.5369067422406;3.91305250284727;6.32656172646252;36.7940851695458;18.291346891362
BGM-0925;BGM-0925;26.3717955591093;15.5665563563736;4.35917929625849;4.9448557152849;37.1230013363795;36.6309628577695
BGM-0946;BGM-0946;43.2820587367065;14.274343654506;2.67158015858155;4.66670066358944;31.0213991236217;15.5344999702862
BGM-0947;BGM-0947;35.7440358422924;17.482950486382;5.60522255911114;5.68026584258091;35.8617905489068;29.7613743796833
BGM-0976;BGM-0976;51.2767137806538;11.934667040544;4.01472833970237;4.68899064704316;36.336273561323;11.2816089498108
BGM-1025;BGM-1025;48.2287342112709;10.4098408847049;3.08047515526438;4.2335371615668;30.5345986162309;9.1428147291907
BGM-1158;BGM-1158;29.9282667381745;17.1406042671232;2.44543165877485;5.64008218587905;36.6555420184735;27.6894931443062
BGM-1171;BGM-1171;43.0563782112685;13.4563860280933;3.80801064367069;4.52081527930335;39.1697726553947;17.1891648341854
BGM-1195;BGM-1195;47.3791225968053;11.6705771750191;4.03559442651072;4.54465824422648;32.9590926009453;19.5835801111049
BGM-1218;BGM-1218;35.1254617875678;9.95848828534661;3.13034181634765;5.23469253309646;30.9015197373692;19.0297630172286
BGM-1224;BGM-1224;31.8572809270771;19.3930618262221;4.03559442651072;5.86698298306904;32.4403863034237;24.259958129729
