id,HCN,PRC,PRNC,PTR,PPA,DMCsg,DRY,IC,AP,NMa,PA,Vigor45D,Vigor12M,RF,PRz,NRz,Pod,PodRCas,PodRPol,FrogSkin,MoscBc,MoscBr,MosCm,MosNv,AcSev,MPs,QFs,Anth,BacSev,FerSev,TCC,StC,CorPol,Friab,Cook
BGM-0507,4.51389153476286,12.1918077937536,5.960275881516,17.1921534825332,14.5585791607305,32.333759619237,4.8001505759512,55.4338035296752,164.435273259473,15.3651308290667,2.82783449346924,2.41976342502049,2.47720194292539,1.87315918551246,1.42826948138519,3.89787212045004,0.0235335541338614,NA,NA,0.437758185997446,NA,NA,NA,NA,3.46468710675269,NA,0.500241264462876,1.49871844069597,NA,NA,0.621056580141582,23.5418056377513,1,Frie,30
BGM-0508,4.1815081418036,8.10165738232138,3.82020796090693,10.4227961479798,13.0400359176496,34.7114779405226,3.69398659926445,36.0468044154875,175.16699019441,15.4631471503733,3.72630170968499,1.69627527746164,2.53523532834841,1.77763525093731,0.833229646714453,2.34591664755857,0.0148690140242786,NA,NA,0.429880208424362,11.3759484364135,4.43126425525894,0.0156917761923041,0.0255626194518464,3.4141538614539,1.60907450406525,0.367289856137438,1.70442841063161,NA,0.0480697944019368,NA,22.7340355560224,1,Mcoe,>40
BGM-0509,5.20074940845607,6.70619752554511,4.14815473598349,10.4715944628809,13.9155044466949,31.3736081103854,3.14626777999569,35.7739321492795,232.590604832165,15.4439860325579,2.37808958979582,2.44404140622953,2.89720672231346,1.92909985221236,1.7241514461231,2.89610900223982,0.0240116960632992,96.258441472782,117.464292827197,0.413532162339731,NA,NA,0.0128502760348938,0.0225553800890404,2.89692731693692,2.02337092830366,0.576124426240331,1.30125215865386,NA,-0.0169890420215201,NA,NA,1,Coe,>40
BGM-0510,3.8939543402685,16.2377560747852,6.47672100433658,21.2814995600303,23.2678522225499,32.858708337729,6.03879743332701,44.3363809943753,193.666708284652,16.672653049126,4.16313220143636,1.80316173032776,2.53523532834841,1.6635083514348,0.986915431828087,3.53089262812839,0.0235335541338614,NA,NA,0.427160224187336,11.1560653419575,3.38440895077991,0.0156917761923041,0.0255626194518464,2.77989177521603,1.38324001742608,0.367289856137438,1.55275912084526,NA,0.0887594584324498,NA,19.4287711964934,1,Frie,>40
BGM-0511,5.96150228588575,4.20260571219672,5.53791117747414,8.46178582538691,19.4488714090807,29.4477992422039,2.63949505274943,28.9510968732375,189.412440591184,15.2015234749495,3.04035196857829,2.28670288362093,2.70313057057677,2.04099611070547,0.765886901048909,2.99204224789149,NA,NA,NA,0.516949677131812,NA,NA,0.0156917761923041,0.0255626194518464,3.23758319082638,1.60907450406525,0.30402533678215,1.20937984876895,NA,0.0480697944019368,NA,NA,NA,NA,NA
BGM-0512,5.37909531062231,21.8554520097578,5.83820927704393,26.9174061342819,29.5767532803902,32.7585771705272,7.38286347520661,46.8229726615778,226.817406636237,17.6859523610427,2.41309437493679,2.28670288362093,3.18967876012697,2.23532615609306,1.152423200412,4.00564161795474,0.134273657295043,NA,NA,0.597753106927008,NA,NA,NA,NA,2.72659937999219,NA,0.415742287913751,1.46419575814327,NA,NA,NA,NA,NA,NA,NA
BGM-0514,4.05769843422483,14.2991330366206,5.24441888083685,19.721514524611,22.2369873744572,31.9764104810057,5.70044044682604,46.5761728796652,225.829243693401,15.108194196326,1.90580049761378,1.80316173032776,3.58665550757228,2.42070679779405,1.10907592768764,3.6365098225662,0.149947122943984,NA,NA,0.420398943042924,9.14570562121687,3.38440895077991,0.01473529994512,0.0346846720919381,2.62132625365656,1.94615129984649,0.728834055639347,1.35541513682654,NA,-0.0287049426933393,NA,20.8761509119769,1,Mcoe,>40
BGM-0517,6.79336993023467,11.332197450744,4.71072761765843,14.7345072113722,18.6846375444598,34.896787011905,4.60111747763026,47.6357117626056,176.481124502137,14.7945262615583,3.82757057565671,1.91004818319387,2.21086986864827,2.11874743814489,0.876576919438812,3.0337527645878,0.0140175081649097,NA,NA,0.428405646282719,10.3079448347701,3.38440895077991,0.0156917761923041,0.0255626194518464,3.25558833989443,1.60907450406525,0.475509700697608,1.68501474153896,NA,0.0480697944019368,NA,NA,NA,NA,NA
BGM-0520,4.28301795916297,6.84561995752587,4.62670524449599,9.77693858273659,16.4194526592824,36.1628371417624,3.5189454128863,34.4582509278451,167.387003052396,15.8378959711174,3.79640979201224,2.02660542952173,2.06541097994961,1.69880834750052,0.90810220869289,2.74865964291096,0.0240116960632992,NA,NA,0.439094304882066,10.7791228943187,3.38440895077991,0.0156917761923041,0.0255626194518464,3.4141538614539,1.94614090203415,0.475509700697608,1.69472157608528,NA,0.0480697944019368,NA,NA,NA,NA,NA
BGM-0521,6.57879605263055,12.8919447771356,5.34346881891683,17.1976944070702,17.1764902734833,34.7496158009993,5.27430442125046,48.8145782315461,206.360174640544,15.259514840868,3.44214665858945,2.08211675183375,2.53523532834841,1.67011778479816,0.959330803730768,3.75968836559736,0.0173731747042429,NA,NA,0.428331718375106,NA,NA,0.0156917761923041,0.580183936548597,3.25558833989443,1.60907450406525,0.583729545257779,1.45205071242712,NA,0.0480697944019368,NA,NA,NA,NA,NA
BGM-0523,6.17415728073555,13.7850861910894,8.54294458337812,17.6009833846942,20.175521127212,33.3801562513514,5.23987269051455,44.6287442849042,190.138080285145,15.0779300674177,2.81071055202163,2.01693463605998,3.34614897759875,1.91032193922996,1.2903463408986,3.4458485025456,0.0172401348782154,NA,NA,0.569941896716477,11.4073603070501,4.43126425525894,0.0156917761923041,0.0255626194518464,2.85917453599576,1.55177321641053,0.367289856137438,1.32100844605171,NA,0.0480697944019368,NA,NA,NA,NA,NA
BGM-0527,3.82129919866162,15.135075201051,6.44508620857473,20.3711679702236,21.0665101764907,34.2897773440361,6.12250429203713,48.6286348642879,198.471334924907,16.5956200874907,3.70044644730645,2.55136690039054,2.37305259849834,1.88515271707645,1.14848253925524,3.29299435656167,0.0173731747042429,NA,NA,0.42994395808914,9.96241425776777,3.38440895077991,0.0156917761923041,0.0255626194518464,3.25558833989443,1.66637579171996,0.475509700697608,1.33071528059803,NA,0.0480697944019368,NA,24.951997704712,1,Mcoe,>40
BGM-0529,4.9195838233621,16.4138493013297,7.92386436041445,24.1979445292582,24.6875582348081,34.1756586292482,7.55832714345125,45.7191342751538,209.287242850403,15.606991876483,3.43253548817595,2.44448044752443,3.83269716714896,2.10018764935474,1.18788915082284,4.35332314509076,0.0173731747042429,NA,NA,0.639940866030146,11.6272434015061,6.52497486421701,0.0156917761923041,0.0255626194518464,2.77989177521603,1.66637579171996,0.367289856137438,1.4010898310589,NA,0.0480697944019368,NA,NA,NA,NA,NA
BGM-0536,6.2067901433272,11.1706932835296,5.54296539269083,15.7445731324098,15.6730085583647,34.2022102128695,4.9060328166918,50.9107523866014,210.16259711982,15.1563985173889,2.68575424550049,2.34294874601881,2.56985374811604,2.00278097134099,0.994852765801149,3.29266903281126,0.0171995242532499,NA,NA,0.41550177000507,19.0090330011007,5.47811955973798,0.0156917761923041,0.0255626194518464,2.72659937999219,1.60907450406525,0.499329265134238,1.52242526288799,NA,0.0480697944019368,NA,NA,NA,NA,NA
BGM-0537,5.43854623557522,11.8647105073431,6.07051335225618,16.8958507413519,18.4598338461058,33.5119265733163,4.99612522036902,46.5999373773409,202.942940823832,16.9531851660751,3.65919014598704,2.44448044752443,3.02178351789861,1.77763525093731,1.22335510123368,3.40748995344509,0.0173731747042429,NA,NA,0.42994395808914,11.0618297300478,3.38440895077991,0.0156917761923041,0.0255626194518464,2.77989177521603,1.83490899070441,0.367289856137438,1.48238457038439,NA,0.0480697944019368,NA,21.1085444109825,1,Coe,>40
BGM-0540,5.01819706691218,11.2905478848877,6.33394585516195,16.2077531762107,17.1426740924054,33.2960477432744,4.96614221484908,44.170967959567,193.345675557921,16.6218294674129,3.62084656238607,2.2668468456912,2.55195916949981,1.95588361636832,0.817467002087414,2.5100379574836,0.0240116960632992,NA,NA,0.949345180868232,NA,NA,0.0128502760348938,0.0225553800890404,3.01774005755523,1.43599194064787,0.700795876507964,1.50892572067046,NA,-0.0169890420215201,NA,NA,NA,NA,NA
BGM-0541,7.1230295387914,11.4845802226146,5.07322663154606,15.7950988250023,34.4409606036553,34.7341139446167,4.26760750025896,33.5746619972154,220.783901645836,16.5099096004635,3.8246306398011,2.2668468456912,3.50804842322399,2.21569746215956,0.852932952498252,4.19593484762076,0.0238940889694167,113.4104046928,112.578243431591,0.440642935734741,NA,NA,0.0156917761923041,0.485898312642149,2.77989177521603,1.66637579171996,0.475509700697608,1.59401316766715,NA,0.0480697944019368,NA,NA,NA,NA,NA
BGM-0542,3.84478875642521,8.18518411492192,5.99851384505514,12.9260531529529,18.7722665586242,36.3513416456661,4.8084139619581,31.1500358240202,175.265946965951,15.1640341621844,4.0838810282945,1.94774785719471,1.91329946557094,1.87715887211101,0.785941712833335,3.24359349323349,NA,88.0279269815941,84.474430572298,0.443171999761755,NA,NA,NA,NA,3.81056766535257,NA,0.378888659899931,1.39515039303786,NA,NA,NA,22.1619881100751,1,Coe,>40
BGM-0543,6.36227666136171,14.6246931441519,4.57198351967724,18.8458935599494,26.4850511917674,37.4548566835386,5.60923663175626,42.3396523743831,200.796741800762,16.6472956858892,4.27630132988475,2.2668468456912,2.10687715324625,2.03213639497432,1.34551559709323,3.41222052774337,NA,97.6427674681937,116.344493025242,0.443897372097834,NA,NA,NA,NA,3.01774005755523,NA,0.62159386902582,1.46419575814327,NA,NA,0.487924273795854,NA,NA,NA,NA
BGM-0544,6.38923361488589,15.8085804476394,6.13834908631354,20.5224532871698,29.7552838976936,37.8934534981274,7.27563731092061,40.2597818766328,235.136642259961,16.7357589213829,2.29970327341691,2.2668468456912,2.49403252859689,2.03213639497432,1.23517708470396,3.62265114270848,NA,87.3727680696767,173.001733036404,0.551587240315208,NA,NA,NA,NA,2.77989177521603,NA,0.62159386902582,1.42967307559056,NA,NA,NA,NA,NA,NA,NA
BGM-0545,6.48275323184504,8.17233460499322,4.48490832297229,10.9962340826048,16.4333575635976,34.7845208385197,3.40601212794086,37.9881320413169,187.616977620424,15.9623151677408,3.23889867907052,1.98752194422282,3.02178351789861,2.2183305202477,1.14454187809848,2.99207432093706,0.0235335541338614,NA,NA,0.435773364611086,10.4021804466798,3.38440895077991,0.0156917761923041,0.0255626194518464,3.1763055791147,1.60907450406525,0.529619622977694,1.69472157608528,NA,0.0480697944019368,NA,NA,1,Coe,>40
