id;Anth;BlLS;BrLS;WhLS;Vigor45D;FrogSkin;Pod;FerSev;MosCm;MosNv;RF;AcSev
BGM-0436;BGM-0436;3.6507285886955;3.14021442426994;3.13467375620494;1.14809172493362;1.48575917544111;0.364410097755637;0.0241405485282175;0.0514176299716413;0.0176814023415969;0.0316769030255626;1.19238866429271;2.90573550833304
BGM-0438;BGM-0438;2.47080441055597;3.14021442426994;3.4029804871452;2.35287735438867;2.26714226646628;0.642077124740352;0.0172014065114763;0.0514176299716413;0.0176814023415969;0.48969550698938;1.6975715120711;3.44619423216951
BGM-0442;BGM-0442;4.83065276683503;4.48063307460874;4.47620741090622;3.31670585795272;2.76548237910265;0.371592667608221;0.131202902194958;0.0514176299716413;0.0176814023415969;0.0316769030255626;2.61960940384614;2.87501463671791
BGM-0456;BGM-0456;1.58586127695133;3.94446561447322;4.20790067996597;0.666177473151594;2.26714226646628;0.83860492776207;0.0249243767008716;0.053108424502874;0.0267247005718171;0.0564249470046291;2.00449102651507;2.71182046658888
BGM-0484;BGM-0484;2.67368979961362;2.66818615688576;2.60459021333894;0.967356009161204;2.33783482871367;0.367531968644866;0.0186207048478821;0.165576325216928;0.127558107590431;0.0256251394891648;2.00173487862884;3.34373807883079
BGM-0514;BGM-0514;2.08372771054385;2.400102426818;2.33628348239868;1.93118451272525;1.80333609934049;0.356388087283478;0.147672999269937;-0.0272554961299148;0.0147765722447778;0.0347324557992535;2.42170839265937;2.60936431325016
BGM-0541;BGM-0541;3.85361397775314;4.00860480722456;4.21443059898047;2.41309876450727;2.2670574188;0.377539764695958;0.0251034754781167;0.0481498957553797;0.0157193572227408;0.483643743452983;2.21632833491404;2.77255848337919
BGM-0556;BGM-0556;2.9686708441485;3.7405210771568;3.4095104061597;1.20831313505222;2.32325146962781;0.351977296345794;0.0176319556608838;-0.0272554961299148;0.0147765722447778;0.0347324557992535;1.96800356172761;3.01734973857273
BGM-0564;BGM-0564;2.67368979961362;3.47243734708904;3.67781713709996;1.20831313505222;2.2670574188;0.472017322010566;0.0251034754781167;0.0481498957553797;0.344656858304184;0.0256251394891648;2.08235816379316;3.18054390870176
BGM-0583;BGM-0583;2.67368979961362;4.00860480722456;3.94612386804022;1.44927026094323;2.32325146962781;0.340944002974648;0.146302032560647;0.717228066656302;0.0147765722447778;0.0347324557992535;1.9723382637823;3.01734973857273
BGM-0592;BGM-0592;4.44357606682291;3.7405210771568;3.4095104061597;2.17214163861626;2.33764257134424;0.345949087515591;0.111312728108385;0.0481498957553797;0.0157193572227408;0.0256251394891648;1.83977235626713;3.41575054317788
BGM-0615;BGM-0615;2.9686708441485;4.27668853729232;4.48273732992073;1.69022738683424;2.45704439999394;0.367301965505322;0.0187094462661905;0.0880748817723061;0.0157193572227408;0.483643743452983;1.67061359853369;3.18054390870176
BGM-0623;BGM-0623;3.85361397775314;4.27668853729232;4.21443059898047;2.65405589039828;2.24456780563433;0.351188509169559;0.0250242272544475;0.313244332930345;0.0122130152590422;0.0331723995775151;1.9723382637823;3.26214099376628
BGM-0631;BGM-0631;4.19956277802346;4.64353873570846;4.62340010114786;1.74256433459063;2.08076985257554;0.368314241070187;0.0251034754781167;0.04284586916974;0.00509134668014496;0.237288584213764;1.54780510641399;3.42746014678566
