id;Anth;BlLS;BrLS;WhLS;Vigor45D;FrogSkin;MosNv;RF;AcSev
BGM-0442;BGM-0442;4.83065276683503;4.48063307460874;4.47620741090622;3.31670585795272;2.76548237910265;0.371592667608221;0.0316769030255626;2.61960940384614;2.87501463671791
BGM-0456;BGM-0456;1.58586127695133;3.94446561447322;4.20790067996597;0.666177473151594;2.26714226646628;0.83860492776207;0.0555626760673795;2.00449102651507;2.71182046658888
BGM-0480;BGM-0480;1.78874666600897;2.13201869675024;2.33628348239868;1.20831313505222;2.26265547975344;0.376563866038719;0.0555626760673795;2.74836477163538;3.67012641908885
BGM-0489;BGM-0489;1.78874666600897;3.20435361702128;2.33628348239868;2.17214163861626;2.44473457458831;0.367531968644866;0.0256251394891648;1.99299683805334;3.09894682363725
BGM-0508;BGM-0508;4.44357606682291;3.47243734708904;3.4095104061597;1.93118451272525;1.69643635346585;0.367334005008682;0.0256251394891648;1.77778308759918;3.42533516389531
BGM-0514;BGM-0514;2.08372771054385;2.400102426818;2.33628348239868;1.93118451272525;1.80333609934049;0.356388087283478;0.0347324557992535;2.42170839265937;2.60936431325016
BGM-0521;BGM-0521;3.55863293321826;2.400102426818;2.60459021333894;0.967356009161204;2.08232987963411;0.366002528920887;0.577454782819066;1.6701762123721;3.26214099376628
BGM-0603;BGM-0603;2.67368979961362;4.27668853729232;3.94612386804022;1.69022738683424;2.01099101931364;0.358234806464254;0.0256251394891648;2.42386172512326;2.85415556844371
BGM-0615;BGM-0615;2.9686708441485;4.27668853729232;4.48273732992073;1.69022738683424;2.45704439999394;0.367301965505322;0.483643743452983;1.67061359853369;3.18054390870176
BGM-0631;BGM-0631;4.19956277802346;4.64353873570846;4.62340010114786;1.74256433459063;2.08076985257554;0.368314241070187;0.237288584213764;1.54780510641399;3.42746014678566
BGM-0655;BGM-0655;4.19956277802346;4.64353873570846;4.89170683208811;1.98352146048164;1.97856460120487;0.345387400955117;0.00773434541249828;2.10346900119366;2.529892211076
BGM-0703;BGM-0703;3.31461964441881;3.57120381543742;3.55017317738683;1.26065008280861;1.76026201958794;0.285273931006427;0.0555626760673795;1.42706825755118;3.75384848704372
BGM-0707;BGM-0707;3.90458173348857;3.83928754550518;3.81847990832709;2.46543571226366;2.08076985257554;0.37400564911409;0.0355055581133736;1.63514495927592;3.75384848704372
BGM-0717;BGM-0717;3.90458173348857;3.83928754550518;4.08678663926734;1.0196929569176;2.36451380391381;0.971875587017544;0.0355055581133736;2.56189848162884;2.93787763639857
BGM-0856;BGM-0856;1.7689777667889;3.67523863216308;3.64186810664798;0.664313828459665;2.44665939814752;0.363489686176553;0.0355055581133736;2.25750171938893;3.55628442191552
BGM-0917;BGM-0917;3.24388298946331;2.06673625175652;1.76372099006619;0.905270954350676;2.63527987278825;0.75524876726528;0.0434377112611823;2.29788725870035;2.57711940114135
BGM-0918;BGM-0918;2.65392090039355;3.40715490209532;3.64186810664798;2.11005658380573;2.52838012691362;0.590833938482797;0.0331723995775151;2.08764361955284;3.31199456200452
BGM-0943;BGM-0943;2.65392090039355;1.79865252168876;2.03202772100645;0.664313828459665;1.92768439027264;0.358460469300425;0.0434377112611823;1.60323566620889;3.22989608165747
BGM-0958;BGM-0958;4.71878821213772;5.01565728250188;4.98340176134926;3.07388508736978;1.9486092692862;0.372971228957425;0.0434377112611823;1.60323566620889;3.14829899659295
BGM-1087;BGM-1087;2.99917753652494;4.43120210764657;4.47159600524529;1.92831477034909;2.64440304885081;1.01631758308218;0.0427063238500212;2.40525915162155;2.9253968121317
