Trial	plot_name	Clone	data	Use	Plot	TCC
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1196.867	BGM-1196			867	6.721081189
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1210.874	BGM-1210			874	6.670166926
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1213.876	BGM-1213			876	11.06304446
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1214.877	BGM-1214			877	7.852610522
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1225.884	BGM-1225			884	6.603626246
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1225.885	BGM-1225			885	6.661876388
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1226.888	BGM-1226			888	7.317071806
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1227.889	BGM-1227			889	7.356249524
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1236.890	BGM-1236			890	6.588589291
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BRS-Dourada.898	BRS-Dourada			898	8.226867821
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.IAC-576.918	IAC-576			918	7.26622019
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1277.923	BGM-1277			923	6.712565181
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1280.925	BGM-1280			925	8.327260023
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1284.930	BGM-1284			930	6.476006628
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1285.931	BGM-1285			931	6.706956613
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1286.932	BGM-1286			932	7.383905907
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1291.935	BGM-1291			935	6.907836547
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1296.940	BGM-1296			940	8.205857967
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1304.944	BGM-1304			944	10.97723251
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1313.948	BGM-1313			948	6.92959145
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1317.951	BGM-1317			951	6.830962736
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1328.961	BGM-1328			961	6.84015257
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1332.965	BGM-1332			965	6.962639644
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1344.971	BGM-1344			971	6.811665552
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BRS-399.974	BRS-399			974	8.436541585
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1355.980	BGM-1355			980	10.90782712
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BRS-396.983	BRS-396			983	8.562128835
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1359.984	BGM-1359			984	7.178808213
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1361.986	BGM-1361			986	6.630600017
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1362.987	BGM-1362			987	7.197340022
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1365.990	BGM-1365			990	7.648571095
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1368.991	BGM-1368			991	6.268446229
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1370.993	BGM-1370			993	6.496984377
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1376.996	BGM-1376			996	6.856465671
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1377.997	BGM-1377			997	6.417239289
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BRS-Dourada.1006	BRS-Dourada			1006	7.867149804
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1390.1009	BGM-1390			1009	7.754417825
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1393.1010	BGM-1393			1010	6.319492811
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1395.1011	BGM-1395			1011	7.126468251
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1397.1013	BGM-1397			1013	6.410363304
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1400.1014	BGM-1400			1014	6.665810616
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1410.1022	BGM-1410			1022	6.887172382
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1413.1025	BGM-1413			1025	7.347427144
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1414.1026	BGM-1414			1026	7.003929829
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1419.1028	BGM-1419			1028	7.063612562
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1422.1031	BGM-1422			1031	7.490473992
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1423.1032	BGM-1423			1032	7.001945977
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1428.1035	BGM-1428			1035	6.990926429
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1429.1036	BGM-1429			1036	6.832756852
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1432.1038	BGM-1432			1038	6.649727052
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1432.1039	BGM-1432			1039	6.727835778
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1433.1041	BGM-1433			1041	6.175789279
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1436.1042	BGM-1436			1042	7.232048495
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1444.1046	BGM-1444			1046	7.433562645
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1446.1047	BGM-1446			1047	7.83407546
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1447.1048	BGM-1447			1048	7.310767612
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1451.1050	BGM-1451			1050	7.036783969
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1454.1053	BGM-1454			1053	7.009865777
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1455.1054	BGM-1455			1054	6.938735576
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1457.1055	BGM-1457			1055	6.498001366
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1465.1058	BGM-1465			1058	6.535474812
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1468.1060	BGM-1468			1060	6.436615337
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1472.1062	BGM-1472			1062	6.852401131
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1474.1063	BGM-1474			1063	6.802454956
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1475.1066	BGM-1475			1066	6.825507568
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1481.1069	BGM-1481			1069	7.055709702
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1483.1071	BGM-1483			1071	6.673375642
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.Eucalipto.1078	Eucalipto			1078	7.153293352
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1487.1079	BGM-1487			1079	6.844740031
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1488.1080	BGM-1488			1080	7.144813632
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1496.1082	BGM-1496			1082	7.752646708
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1497.1084	BGM-1497			1084	7.92291844
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1498.1085	BGM-1498			1085	7.246870144
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1499.1087	BGM-1499			1087	7.177011791
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1502.1088	BGM-1502			1088	7.424244062
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1502(M).1089	BGM-1502(M)			1089	7.302255934
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1503.1091	BGM-1503			1091	7.159163214
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1513.1095	BGM-1513			1095	7.33291276
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BRS-399.1096	BRS-399			1096	8.558574878
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.Equador72.1099	Equador72			1099	7.063345369
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1517.1100	BGM-1517			1100	7.032544881
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1518.1101	BGM-1518			1101	7.525704256
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1519.1102	BGM-1519			1102	7.136278212
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1520.1104	BGM-1520			1104	6.960364413
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1525.1108	BGM-1525			1108	6.93240045
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1527.1110	BGM-1527			1110	6.490506022
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1545.1117	BGM-1545			1117	7.105529267
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1550.1118	BGM-1550			1118	6.530522999
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1558.1121	BGM-1558			1121	5.943449344
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.IAC-576.1123	IAC-576			1123	8.077947887
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1569.1125	BGM-1569			1125	7.479151613
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1574.1129	BGM-1574			1129	6.769087942
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1579.1130	BGM-1579			1130	6.744037361
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1585.1138	BGM-1585			1138	7.530135829
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1586.1139	BGM-1586			1139	7.122888187
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1588.1140	BGM-1588			1140	6.882746485
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BRS-399.1141	BRS-399			1141	8.523604049
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1590.1142	BGM-1590			1142	6.427234783
BR.CETBAG.19.UFRB	BR.BAG.19.UFRB.BGM-1596.1144	BGM-1596			1144	7.96165897
